feature,importance
completion_rate,0.3527282557965628
chapters_completed,0.21768436259775856
chapters_attempted,0.18557913754815925
last_chapter,0.14535431913649657
score_std,0.02735209837699701
total_time_spent,0.0199796059691428
time_std,0.013264971700448176
score_trend,0.008838891436113917
max_score,0.008076200760838948
avg_score,0.0056195229097909805
min_score,0.005507620571177035
low_score_count,0.005158448608157086
engagement_rate,0.003047287195528732
avg_time_per_chapter,0.0018092773928280721
