feature,importance
min_score,0.14711589877792314
score_std,0.13185582693034217
score_trend,0.12829766665519007
max_score,0.1252114673802777
total_time_spent,0.10114380260900503
time_std,0.09389183366704511
avg_score,0.0886454186006529
avg_time_per_chapter,0.08402246856713431
engagement_rate,0.04929748240012578
low_score_count,0.022175652236464727
completion_rate,0.007791389568354805
chapters_attempted,0.007500743838119725
chapters_completed,0.006688131596211158
last_chapter,0.006362217173153481
